,Unnamed: 0,City,Country,Max Temp,% Humidity,% Cloudiness,Wind Speed,Lat,Lng
1328,1328,Lashio,MM,75.13,84,97,1.25,22.9333,97.75
1329,1329,Tecoanapa,MX,81.03,77,58,4.29,16.5167,-98.75
1330,1330,Impfondo,CG,70.65,95,98,1.83,1.6381,18.0667
1331,1331,Porto nacional,BR,80.6,48,0,1.12,-10.7081,-48.4172
1332,1332,Rikitea,PF,73.31,79,62,19.06,-23.1203,-134.9692
1333,1333,Batemans bay,AU,58.1,56,3,15.82,-35.7167,150.1833
1334,1334,Cayenne,GF,81.09,1,100,2.3,4.9333,-52.3333
1335,1335,Banjar,ID,85.86,65,60,0.45,-8.19,114.9675
1336,1336,San bartolome de tirajana,ES,59.47,78,40,20.71,27.9248,-15.5733
1337,1337,Punta arenas,CL,44.71,61,75,13.8,-53.15,-70.9167
